epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8098,0,101.642,0,0,0,0,0,0,45.9446,0,0,0,0
2,22.2903,0,106.594,0,0,0,0,0,0,42.4097,0,1.60099e-05,1.60099e-05,1.60099e-05
3,33.7932,0,85.2394,0,0,0,0,0,0,55.0261,0,3.06995e-05,3.06995e-05,3.06995e-05
4,44.1603,0,77.6048,0,0,0,0,0,0,126.468,0,4.40688e-05,4.40688e-05,4.40688e-05
5,54.6281,0,74.6198,0,0,0,0,0,0,81.5194,0,5.61179e-05,5.61179e-05,5.61179e-05
6,65.3637,0,70.0974,0,0,0,0,0,0,30.3719,0,6.68467e-05,6.68467e-05,6.68467e-05
7,75.5436,0,66.4319,0,0,0,0,0,0,22.1566,0,7.62552e-05,7.62552e-05,7.62552e-05
8,85.8013,0,60.612,0,0,0,0,0,0,28.9343,0,8.43435e-05,8.43435e-05,8.43435e-05
9,96.2199,0,54.798,0,0,0,0,0,0,78.9196,0,9.11116e-05,9.11116e-05,9.11116e-05
10,106.986,0,48.9123,0,0,0,0,0,0,103.603,0,9.65593e-05,9.65593e-05,9.65593e-05
11,117.195,0,43.3807,0,0,0,0,0,0,103.603,0,0.000100687,0.000100687,0.000100687
12,127.817,0,43.5214,0,0,0,0,0,0,68.9433,0,0.000103494,0.000103494,0.000103494
13,137.989,0,40.2822,0,0,0,0,0,0,68.9433,0,0.000104981,0.000104981,0.000104981
14,148.72,0,40.3799,0,0,0,0,0,0,50.3177,0,0.000105148,0.000105148,0.000105148
15,159.179,0,35.4317,0,0,0,0,0,0,50.3177,0,0.000103994,0.000103994,0.000103994
16,169.197,0,37.9884,0,0,0,0,0,0,44.8957,0,0.00010152,0.00010152,0.00010152
17,178.922,0,32.9569,0,0,0,0,0,0,44.8957,0,9.77262e-05,9.77262e-05,9.77262e-05
18,189.325,0,32.7935,0,0,0,0,0,0,54.1467,0,9.26119e-05,9.26119e-05,9.26119e-05
19,199.301,0,30.7075,0,0,0,0,0,0,54.1467,0,8.61772e-05,8.61772e-05,8.61772e-05
20,209.676,0,30.4968,0,0,0,0,0,0,36.5048,0,7.84223e-05,7.84223e-05,7.84223e-05
21,219.78,0,27.3308,0,0,0,0,0,0,36.5048,0,6.93472e-05,6.93472e-05,6.93472e-05
22,230.387,0,27.6992,0,0,0,0,0,0,29.5003,0,5.89518e-05,5.89518e-05,5.89518e-05
23,240.405,0,25.5938,0,0,0,0,0,0,29.5003,0,4.72361e-05,4.72361e-05,4.72361e-05
24,250.653,0,25.5077,0,0,0,0,0,0,24.2786,0,3.42002e-05,3.42002e-05,3.42002e-05
25,260.552,0,24.178,0,0,0,0,0,0,24.2786,0,1.9844e-05,1.9844e-05,1.9844e-05
